Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),BaseStats,Club Name,Wage(in Euro),Release Clause,Club Position,Contract Until,Club Jersey Number,Joined On,On Loan,Preferred Foot,Weak Foot Rating,Skill Moves,International Reputation,National Team Name,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Dribbling Total,Defending Total,Physicality Total
T. Leibold,Tim Leibold,74,3800000,"LB,LM",LB,Germany,28,174,72,420,Hamburger SV,13000,6100000,SUB,2023,21,2019,-,Left,3,3,1,-,-,-,High,Medium,78,57,72,75,67,71
Vinicius Souza,Vinicius de Souza Costa,74,9000000,"CDM,CM",CB,Brazil,23,187,80,394,RCD Espanyol de Barcelona,13000,20700000,CDM,2025,12,2020,-,Right,3,2,1,-,-,-,Medium,High,66,47,63,66,73,79
P. Jaeckel,Paul Jaeckel,74,6000000,"CB,CDM",CB,Germany,23,186,83,358,1. FC Union Berlin,20000,11300000,CB,2025,3,2021,-,Right,3,2,1,-,-,-,Medium,High,73,33,52,51,76,73
K. Mac Allister,Kevin Mac Allister,74,5000000,"CB,RB",CB,Argentina,24,175,72,416,Argentinos Juniors,10000,7900000,CB,2023,4,2016,-,Right,3,2,1,-,-,-,Medium,Medium,76,54,62,72,74,78
P. Hofmann,Philipp Hofmann,74,4200000,ST,ST,Germany,29,195,89,356,VfL Bochum 1848,24000,7600000,ST,2024,33,2022,-,Left,2,2,1,-,-,-,Medium,Medium,51,74,53,63,35,80
K. Świderski,Karol Świderski,74,6500000,ST,ST,Poland,25,184,78,378,Charlotte FC,9000,9900000,ST,2025,11,2022,-,Left,3,3,1,Poland,SUB,11,High,Medium,68,74,62,71,32,71
M. Plattenhardt,Marvin Plattenhardt,74,3600000,LB,LB,Germany,30,181,76,408,Hertha BSC,24000,6500000,LB,2023,21,2014,-,Left,2,3,2,-,-,-,Medium,Medium,66,56,73,71,71,71
Guridi,Jon Guridi Aldalur,74,4800000,"CM,CDM,CAM",CAM,Spain,27,179,70,388,Deportivo Alavés,12000,8000000,CAM,2026,18,2022,-,Left,3,3,1,-,-,-,Medium,Medium,63,64,69,77,62,53
N. Moro,Nikola Moro,74,8000000,"CDM,CM",CM,Croatia,24,185,77,432,Bologna,21000,15200000,SUB,2025,6,2020,-,Right,5,3,1,-,-,-,High,Medium,71,70,73,73,69,76
L. Kilian,Luca Kilian,74,6000000,CB,CB,Germany,22,192,91,367,1. FC Köln,19000,12000000,CB,2025,15,2022,-,Right,3,2,1,-,-,-,Low,Medium,70,37,56,54,75,75
C. Bassey,Calvin Bassey,74,9000000,"LB,CB",LB,Nigeria,22,185,76,416,Ajax,11000,14400000,CB,2027,3,2022,-,Left,3,2,1,-,-,-,High,High,83,44,64,69,70,86
N. Petersen,Nils Petersen,74,2700000,ST,ST,Germany,33,188,84,365,Sport-Club Freiburg,26000,4600000,SUB,2025,18,2015,-,Right,4,3,2,-,-,-,Medium,High,52,77,58,65,40,73
Nilson Alfarinho,Nilson Leôncio Alfaro Soares,74,475000,GK,GK,Brazil,38,190,89,400,Atlético Clube Goianiense,6000,903000,GK,2025,29,2022,-,Right,3,1,1,-,-,-,Medium,Medium,68,71,72,77,34,78
A. Ademi,Arijan Ademi,74,3500000,"CM,CDM",CM,North Macedonia,31,185,79,419,Dinamo Zagreb,950,7700000,CM,2026,5,2010,-,Right,3,3,1,-,-,-,High,High,65,65,66,71,71,81
B. Osayi-Samuel,Bright Osayi-Samuel,74,6000000,"RB,RM,RW",RM,Nigeria,24,175,74,432,Fenerbahçe SK,39000,11900000,SUB,2025,21,2021,-,Right,3,3,1,-,-,-,High,Medium,94,59,62,78,65,74
D. Valoyes,Diego Valoyes,74,5000000,"RM,LM,ST",RM,Colombia,25,181,76,415,Club Atlético Talleres,14000,7900000,RM,2024,7,2018,-,Right,4,3,1,-,-,-,High,Medium,88,69,67,74,49,68
J. Angulo,Juan Angulo,74,2200000,RB,RB,Colombia,33,178,78,413,Club Deportes Tolima,4000,3100000,SUB,2022,13,2022,-,Right,3,3,1,-,-,-,High,Medium,71,59,69,68,71,75
E. Ponce,Ezequiel Ponce,74,6500000,ST,ST,Argentina,25,180,80,390,Elche CF,19000,14800000,SUB,2026,19,2022,-,Right,3,3,1,-,-,-,High,Medium,76,73,61,74,37,69
K. Billiat,Khama Billiat,74,3600000,"CF,RW,ST",RW,Zimbabwe,31,170,60,419,Kaizer Chiefs,1000,7700000,ST,2023,11,2018,-,Right,4,4,1,-,-,-,High,Medium,85,74,70,78,47,65
G. Ferrari,Gian Marco Ferrari,74,3500000,CB,CB,Italy,30,189,82,322,U.S. Sassuolo Calcio,25000,6000000,CB,2024,13,2016,-,Left,3,2,1,-,-,-,Medium,Medium,50,28,41,50,75,78
M. Mohamed,Mostafa Mohamed,74,8500000,ST,ST,Egypt,24,185,78,387,FC Nantes,47000,0,ST,2023,31,2021,TRUE,Right,5,3,1,-,-,-,Medium,Medium,70,74,57,69,38,79
Y. Maleh,Youssef Maleh,74,6500000,CM,CM,Morocco,23,177,74,419,Fiorentina,35000,12400000,SUB,2025,14,2021,-,Left,3,3,1,-,-,-,Medium,High,69,67,74,76,66,67
B. van den Boomen,Branco van den Boomen,74,4900000,"CM,CDM",CM,Netherlands,26,188,75,425,Toulouse Football Club,17000,10200000,CM,2023,8,2020,-,Right,4,3,1,-,-,-,High,Medium,62,73,78,70,66,76
L. Cook,Lewis Cook,74,6000000,"CM,CDM",CM,England,25,175,71,406,AFC Bournemouth,37000,12500000,CDM,2025,4,2016,-,Right,4,3,1,-,-,-,Medium,Medium,60,63,74,77,66,66
R. Marin,Răzvan Marin,74,5000000,CM,CM,Romania,26,178,75,420,Empoli,5000,0,CM,2023,18,2021,TRUE,Right,4,4,1,Romania,CDM,18,Medium,Medium,68,73,76,74,62,67
L. Masopust,Lukáš Masopust,74,4099999,"RM,RB",RM,Czech Republic,29,179,76,435,SK Slavia Praha,1000,9000000,RM,2025,8,2019,-,Right,4,3,1,Czech Republic,SUB,12,High,High,84,65,68,75,68,75
Elias Fontoira,Elias Thiago Fontoira Marques,74,4099999,CDM,CDM,Brazil,26,186,74,428,Internacional,21000,7800000,CDM,2025,6,2022,-,Right,3,2,1,-,-,-,Medium,Medium,69,69,74,73,73,70
K. Malcuit,Kévin Malcuit,74,3600000,RB,RB,France,30,178,77,423,MKE Ankaragücü,13000,7200000,RB,2023,13,2022,-,Right,3,3,2,-,-,-,High,Medium,75,62,70,74,72,70
L. Sepe,Luigi Sepe,74,2200000,GK,GK,Italy,31,185,75,407,US Salernitana 1919,17000,4000000,GK,2025,33,2022,-,Left,2,1,1,-,-,-,Medium,Medium,74,71,70,76,44,72
R. Jack,Ryan Jack,74,4000000,"CM,CDM",CDM,Scotland,30,182,72,424,Rangers FC,43000,7200000,SUB,2023,8,2017,-,Right,3,2,1,-,-,-,Medium,High,62,67,72,72,73,78
M. Pongračić,Marin Pongračić,74,5500000,CB,CB,Croatia,24,193,97,359,Lecce,28000,0,CB,2023,5,2020,TRUE,Right,3,2,1,-,-,-,Medium,Medium,68,26,52,63,74,76
E. Krafth,Emil Krafth,74,4099999,"RB,CB",RB,Sweden,27,184,83,406,Newcastle United,57000,7800000,RES,2024,17,2019,-,Right,3,3,1,Sweden,RB,16,Medium,Medium,65,58,68,70,74,71
A. Onana,Amadou Onana,74,8500000,"CDM,CM",CDM,Belgium,20,195,76,420,Everton,22000,17900000,CM,2027,8,2022,-,Right,4,3,1,-,-,-,Medium,High,74,59,69,71,71,76
S. Ricci,Samuele Ricci,74,8500000,"CDM,CM",CDM,Italy,20,178,72,411,Torino F.C.,23000,17000000,SUB,2026,28,2022,-,Right,3,3,1,-,-,-,Medium,Medium,74,55,70,71,71,70
A. Touré,Almamy Touré,74,4600000,"CB,RWB,RM",CB,Mali,26,183,81,423,Eintracht Frankfurt,22000,8199999,SUB,2023,18,2019,-,Right,3,3,1,-,-,-,Medium,Medium,80,58,66,72,74,73
J. Amavi,Jordan Amavi,74,3800000,LB,LB,France,28,176,70,414,Getafe CF,30000,0,SUB,2023,12,2018,TRUE,Left,5,3,2,-,-,-,High,Medium,73,61,67,70,71,72
N. Cozza,Nicolas Cozza,74,8000000,"CB,LB",CB,France,23,178,72,393,Montpellier Hérault SC,16000,16800000,CB,2023,31,2017,-,Left,3,2,1,-,-,-,Medium,Medium,75,41,62,69,75,71
J. Jankto,Jakub Jankto,74,5000000,"LM,CM,RM",LM,Czech Republic,26,184,74,418,AC Sparta Praha,1000,11400000,SUB,2026,15,2021,-,Left,3,3,2,Czech Republic,LM,14,High,High,73,71,71,74,67,62
M. Crépeau,Maxime Crépeau,74,3900000,GK,GK,Canada,28,180,88,410,Los Angeles FC,6000,6100000,GK,2024,16,2022,-,Right,2,1,1,Canada,SUB,16,Medium,Medium,72,70,70,75,49,74
R. Khedira,Rani Khedira,74,4099999,"CDM,CB",CB,Germany,28,189,86,376,1. FC Union Berlin,25000,7700000,CDM,2026,8,2021,-,Right,3,2,2,-,-,-,Low,High,58,43,58,61,76,80
A. Maher,Adam Maher,74,3700000,"CDM,CM",CDM,Netherlands,28,174,76,423,Damac FC,19000,6100000,CM,2025,6,2022,-,Right,2,3,1,-,-,-,Medium,High,67,70,74,76,70,66
Nuno Santos,Nuno Miguel Valente Santos,74,8500000,CM,CM,Portugal,23,179,73,428,Charlotte FC,7000,14000000,RES,2024,6,2022,-,Right,3,3,1,-,-,-,High,Medium,80,69,71,73,67,68
Y. Eteki,Yan Brice Eteki,74,6000000,"CDM,CM",CDM,Cameroon,24,182,76,394,Casa Pia,5000,13500000,CM,2024,88,2022,-,Right,3,2,1,-,-,-,Medium,High,58,55,66,70,70,75
M. Uhre,Mikael Uhre,74,4900000,ST,ST,Denmark,27,188,86,393,Philadelphia Union,9000,7700000,ST,2024,7,2022,-,Right,4,2,1,-,-,-,High,Medium,89,73,51,70,33,77
J. Kopic,Jan Kopic,74,3300000,"RM,LM",RM,Czech Republic,32,179,81,389,FC Viktoria Plzeň,1000,7300000,RM,2024,10,2015,-,Right,3,3,1,-,-,-,High,Medium,76,71,72,75,36,59
Diegildo Ramos,Diego Hugo Ramos Calado,74,4099999,"ST,RM",ST,Brazil,30,185,80,341,Flamengo,34000,7400000,SUB,2025,10,2022,-,Left,3,2,1,-,-,-,Medium,Medium,30,79,67,67,28,70
Arbilla,Anaitz Arbilla Zabala,74,1100000,CB,CB,Spain,35,178,76,398,SD Eibar,7000,1800000,CB,2023,23,2016,-,Right,4,2,1,-,-,-,Medium,High,53,57,70,66,73,79
T. Nguen,Tokmac Chol Nguen,74,4200000,"CAM,LM",RW,Norway,28,174,60,406,Ferencvárosi TC,1000,9200000,CAM,2025,10,2019,-,Right,3,3,1,-,-,-,High,Medium,87,71,65,79,45,59
M. Nastasić,Matija Nastasić,74,3500000,CB,CB,Serbia,29,188,83,363,RCD Mallorca,21000,7700000,SUB,2023,2,2022,-,Left,2,2,2,-,-,-,Low,High,62,36,62,55,74,74
F. Woodman,Freddie Woodman,74,4900000,GK,GK,England,25,188,83,408,Preston North End,21000,9700000,GK,2025,1,2022,-,Right,2,1,1,-,-,-,Medium,Medium,75,69,70,75,47,72
M. Havel,Milan Havel,74,4099999,"LB,RB",LB,Czech Republic,27,183,77,398,FC Viktoria Plzeň,950,9000000,LB,2024,24,2017,-,Right,3,2,1,Czech Republic,SUB,17,High,High,67,51,66,68,72,74
L. Vangioni,Leonel Vangioni,74,1300000,"LB,LWB",LB,Argentina,35,181,68,423,Newell's Old Boys,9000,2000000,LB,2022,21,2022,-,Left,3,3,1,-,-,-,High,Medium,77,63,70,70,71,72
A. Tuanzebe,Axel Tuanzebe,74,5500000,CB,CB,England,24,185,75,393,Manchester United,60000,10900000,RES,2023,38,2015,-,Right,3,3,1,-,-,-,Medium,Medium,81,36,63,68,73,72
P. Musa,Petar Musa,74,8500000,ST,ST,Croatia,24,190,82,406,SL Benfica,12000,18700000,SUB,2027,33,2022,-,Right,3,3,1,-,-,-,High,High,83,72,61,71,37,82
Álex Centelles,Alejandro Centelles Plaza,74,8000000,LB,LWB,Spain,22,185,73,411,Unión Deportiva Almería,17000,19200000,SUB,2026,20,2020,-,Left,3,3,1,-,-,-,Medium,Medium,78,52,67,71,68,75
O. Solet,Oumar Solet,74,9000000,CB,CB,France,22,192,81,403,FC Red Bull Salzburg,19000,15300000,CB,2025,22,2020,-,Right,4,2,1,-,-,-,Medium,High,83,43,57,67,72,81
M. Mittelstädt,Maximilian Mittelstädt,74,5000000,"LB,LM",LB,Germany,25,180,71,418,Hertha BSC,22000,9400000,SUB,2023,17,2015,-,Left,3,3,1,-,-,-,High,Medium,77,61,68,74,71,67
J. Worrall,Joe Worrall,74,6000000,CB,CB,England,25,190,90,329,Nottingham Forest,42000,12600000,CB,2024,4,2015,-,Right,2,2,1,-,-,-,Medium,High,57,25,51,45,75,76
S. Ascacíbar,Santiago Ascacíbar,74,5500000,"CDM,CM",CDM,Argentina,25,168,70,392,US Cremonese,22000,0,SUB,2023,8,2020,TRUE,Right,3,2,1,-,-,-,Medium,High,69,47,61,69,74,72
B. Ramselaar,Bart Ramselaar,74,5000000,CAM,CAM,Netherlands,26,178,74,419,FC Utrecht,15000,7900000,RES,2023,23,2019,-,Right,3,3,1,-,-,-,High,Medium,84,71,69,76,52,67
Ki Sung Yueng,Sung Yueng Ki,74,2100000,"CDM,CM",CM,Korea Republic,33,189,75,402,FC Seoul,8000,2600000,CDM,2023,6,2020,-,Right,5,3,2,-,-,-,Medium,High,46,67,78,69,66,76
G. Haraguchi,Genki Haraguchi,74,3500000,"CAM,CM",CAM,Japan,31,178,72,386,1. FC Union Berlin,26000,6300000,SUB,2027,24,2021,-,Right,4,4,2,-,-,-,High,High,76,65,70,78,44,53
P. Hrošovský,Patrik Hrošovský,74,4000000,CM,CM,Slovakia,30,173,70,423,KRC Genk,15000,6000000,CM,2024,17,2019,-,Right,3,3,1,-,-,-,High,High,67,71,74,75,70,66
M. Rashica,Milot Rashica,74,5000000,"LM,RM,CF",LM,Kosovo,26,177,73,411,Galatasaray SK,37000,0,SUB,2023,26,2021,TRUE,Right,4,4,1,-,-,-,High,Low,81,74,68,77,47,64
E. Wahi,Elye Wahi,74,9000000,"ST,LM",ST,France,19,184,74,391,Montpellier Hérault SC,14000,18900000,ST,2025,21,2020,-,Right,4,4,1,-,-,-,High,Medium,82,73,64,76,31,65
J. Tanganga,Japhet Tanganga,74,9000000,"RWB,RB,CB",CB,England,23,180,73,396,Tottenham Hotspur,49000,18900000,SUB,2025,25,2017,-,Right,3,2,1,-,-,-,Medium,High,75,33,62,71,75,80
M. Coda,Massimo Coda,74,2700000,ST,ST,Italy,33,184,73,353,Genoa,6000,4300000,ST,2024,9,2022,-,Right,4,3,1,-,-,-,High,Low,60,75,58,71,25,64
F. Selemani,Faïz Selemani,74,4200000,"LM,CAM",LM,Comoros,28,182,65,418,KV Kortrijk,15000,6300000,SUB,2025,10,2019,-,Right,3,4,1,-,-,-,High,Medium,83,73,70,75,56,61
Vinicius Cardenha,Vinicius Lúcio Cardenha Caeiro,74,3600000,"RB,CB",RB,Brazil,30,179,73,391,Fluminense,19000,6800000,CB,2025,2,2022,-,Right,3,2,1,-,-,-,Medium,High,73,49,60,68,71,70
Ferro,Francisco Reis Ferreira,74,5500000,CB,CB,Portugal,25,191,78,360,Vitesse,11000,0,SUB,2023,5,2016,TRUE,Right,2,2,1,-,-,-,Medium,Medium,52,43,55,60,75,75
Enzo Marteiro,Enzo Wellington Marteiro Santoso,74,2800000,GK,GK,Brazil,30,191,80,411,Flamengo,23000,5000000,SUB,2025,24,2022,-,Right,3,1,1,-,-,-,Medium,Medium,82,73,73,69,40,74
C. Benteke,Christian Benteke,74,3600000,ST,ST,Belgium,31,190,83,360,D.C. United,9000,5400000,ST,2024,20,2022,-,Right,2,2,2,-,-,-,Medium,Low,50,74,62,68,32,74
I. Radovanović,Ivan Radovanović,73,1500000,"CB,CDM",CB,Serbia,33,187,80,386,US Salernitana 1919,20000,2700000,SUB,2023,16,2022,-,Right,2,2,2,-,-,-,Medium,High,47,60,68,66,74,71
N. Vallys,Nicolai Vallys,73,3600000,"LM,CAM",LM,Denmark,25,189,82,401,Brøndby IF,13000,5000000,CAM,2026,7,2022,-,Right,4,3,1,-,-,-,High,Medium,81,66,69,72,38,75
T. Delaine,Thomas Delaine,73,2600000,"RWB,LWB",RWB,France,30,180,71,413,RC Strasbourg Alsace,19000,4900000,RWB,2025,3,2022,-,Left,5,3,1,-,-,-,High,Medium,83,50,69,72,67,72
Jubal,Jubal Rocha Mendes Júnior,73,2900000,CB,CB,Brazil,28,190,80,331,AJ Auxerre,15000,6000000,CB,2023,4,2020,-,Right,2,2,1,-,-,-,Medium,Medium,51,34,45,55,73,73
Henrique,Henrique Silva Milagres,73,2800000,LB,LB,Brazil,28,173,72,391,Olympique Lyonnais,41000,5300000,SUB,2024,12,2021,-,Left,3,3,1,-,-,-,High,Medium,77,45,63,71,70,65
Jony,Jonathan Rodríguez Menéndez,73,2900000,LM,LM,Spain,30,179,71,413,Real Sporting de Gijón,34000,0,SUB,2023,9,2021,TRUE,Left,3,3,1,-,-,-,High,Medium,83,68,72,73,52,65
I. Zabarnyi,Illia Zabarnyi,73,6000000,CB,CB,Ukraine,19,186,81,363,Dynamo Kyiv,500,14400000,CB,2025,25,2019,-,Right,2,2,1,Ukraine,CB,13,Medium,Medium,66,36,56,58,74,73
L. Garritano,Luca Garritano,73,3100000,"CAM,CM,LW",CAM,Italy,28,172,67,418,Frosinone,4000,4800000,CAM,2024,16,2021,-,Right,3,4,1,-,-,-,High,Low,89,70,68,74,55,62
Manu Vallejo,Manuel Vallejo Galván,73,4500000,"ST,LM,CAM",ST,Spain,25,167,72,395,Girona FC,21000,10200000,SUB,2025,25,2022,-,Right,4,3,1,-,-,-,High,Medium,74,74,68,75,43,61
R. Kouamé,Rominigue Kouamé,73,4200000,"CM,CDM",CM,Mali,25,177,68,413,ESTAC Troyes,15000,8700000,CM,2024,6,2021,-,Left,1,3,1,-,-,-,Medium,High,69,54,69,74,70,77
R. Ripart,Renaud Ripart,73,3000000,"RM,LM,ST",ST,France,29,181,73,429,ESTAC Troyes,17000,6000000,LM,2025,20,2021,-,Right,3,3,2,-,-,-,High,High,69,74,68,71,64,83
T. Strobl,Tobias Strobl,73,2000000,"CDM,CB",CDM,Germany,32,188,77,353,FC Augsburg,20000,3600000,RES,2023,5,2020,-,Right,3,2,2,-,-,-,Medium,Medium,34,49,65,57,73,75
R. Delgado,Rafael Delgado,73,2000000,"CB,LB",CB,Argentina,32,178,70,442,Club Atlético Colón,11000,3000000,SUB,2022,40,2020,-,Left,3,3,1,-,-,-,High,Medium,82,65,70,74,72,79
S. Mustafi,Shkodran Mustafi,73,2500000,CB,CB,Germany,30,184,83,381,Levante Unión Deportiva,10000,4000000,SUB,2023,5,2021,-,Right,2,2,3,-,-,-,Medium,Medium,53,57,62,59,73,77
S. Peña,Sergio Peña,73,4000000,"CAM,CM",CAM,Peru,26,178,70,406,Malmö FF,8000,5500000,CM,2024,8,2021,-,Right,3,4,1,-,-,-,Medium,Medium,66,68,76,75,55,66
G. Giakoumakis,Georgios Giakoumakis,73,3600000,ST,ST,Greece,27,185,84,364,Celtic,43000,6800000,SUB,2026,7,2021,-,Right,3,2,1,-,-,-,Medium,Medium,70,73,50,66,28,77
A. Weimann,Andreas Weimann,73,3000000,"ST,CAM,CM",ST,Austria,30,178,76,407,Bristol City,30000,5700000,CAM,2024,14,2018,-,Right,3,3,1,Austria,SUB,10,High,High,82,72,65,71,45,72
D. Randolph,Darren Randolph,73,350000,GK,GK,Republic of Ireland,35,188,78,399,West Ham United,22000,665000,SUB,2023,35,2020,-,Right,3,1,1,-,-,-,Medium,Medium,75,71,66,74,42,71
S. Davis,Sean Davis,73,2600000,"CDM,CM",CDM,United States,29,183,75,411,Nashville SC,7000,3900000,CM,2024,54,2022,-,Right,3,3,1,-,-,-,Medium,High,68,58,68,69,70,78
J. Broun,Jorge Broun,73,350000,GK,GK,Argentina,36,190,92,400,Rosario Central,7000,525000,GK,2022,19,2021,-,Right,3,1,1,-,-,-,Medium,Medium,70,67,69,75,43,76
M. Dupé,Maxime Dupé,73,2500000,GK,GK,France,29,188,88,406,Toulouse Football Club,12000,5200000,GK,2023,30,2020,-,Right,2,1,1,-,-,-,Medium,Medium,74,72,69,75,46,70
S. Caulker,Steven Caulker,73,2500000,CB,CB,Sierra Leone,30,191,76,349,Fatih Karagümrük S.K.,19000,5000000,SUB,2024,44,2022,-,Right,2,2,2,-,-,-,Medium,High,55,30,56,53,74,81
C. Tosun,Cenk Tosun,73,2600000,ST,ST,Turkey,31,183,78,374,Beşiktaş JK,39000,5200000,SUB,2023,9,2022,-,Right,4,3,2,-,-,-,High,Low,59,75,65,71,36,68
R. Zerrouki,Ramiz Zerrouki,73,4600000,"CM,CDM",CM,Algeria,24,183,72,424,FC Twente,10000,7200000,CM,2024,8,2019,-,Right,3,3,1,-,-,-,Medium,High,73,64,69,73,66,79
M. Cáceres,Martín Cáceres,73,800000,"CB,RB,RM",CB,Uruguay,35,181,78,396,LA Galaxy,5000,1200000,RB,2022,22,2022,-,Right,3,3,2,-,-,-,Medium,High,68,51,62,68,73,74
J. Komar,Juan Cruz Komar,73,4000000,CB,CB,Argentina,25,190,82,360,Rosario Central,11000,0,SUB,2022,6,2016,TRUE,Right,3,2,1,-,-,-,Low,Medium,66,36,52,54,73,79
A. Zeneli,Arbër Zeneli,73,3200000,"LM,LW",LM,Kosovo,27,176,72,383,Stade de Reims,19000,6400000,LW,2025,10,2019,-,Right,3,4,1,-,-,-,Medium,Medium,74,70,72,76,35,56
S. Gürler,Serdar Gürler,73,2900000,"RM,LM",RM,Turkey,30,175,65,388,İstanbul Başakşehir FK,28000,5800000,SUB,2025,7,2022,-,Right,3,3,1,-,-,-,High,Medium,81,66,69,75,43,54
Silvosinho,Thomas Nicolas Silva Rangel,73,3000000,"RB,RM,RWB",RB,Brazil,26,177,73,386,Santos,20000,5700000,RB,2025,88,2022,-,Right,3,2,1,-,-,-,Medium,Medium,65,54,64,64,70,69
Neviano Neves,Nathan Walter Neves Bessa,73,3600000,"CM,RM",CM,Brazil,22,170,70,407,Sport Club Corinthians Paulista,20000,6800000,RM,2025,7,2022,-,Right,3,2,1,-,-,-,Medium,Medium,63,71,73,72,61,67
R. Haps,Ridgeciano Haps,73,2700000,LB,LB,Suriname,29,175,66,424,Venezia FC,5000,4300000,LB,2024,5,2021,-,Left,3,3,1,-,-,-,High,Medium,85,63,65,74,66,71
J. Savarino,Jefferson Savarino,73,4000000,"RM,RW,CAM",CAM,Venezuela,25,169,66,395,Real Salt Lake,7000,6100000,ST,2025,11,2022,-,Right,4,4,1,-,-,-,High,Medium,82,70,66,77,37,63
L. Coulibaly,Lassana Coulibaly,73,3600000,"CDM,CM",CDM,Mali,26,183,77,416,US Salernitana 1919,20000,6800000,CM,2026,18,2021,-,Right,3,3,1,-,-,-,Medium,Medium,72,58,67,72,72,75
L. Abada,Liel Abada,73,6500000,RW,ST,Israel,20,165,67,395,Celtic,33000,13000000,SUB,2026,11,2021,-,Right,4,3,1,-,-,-,High,Low,83,72,67,73,41,59
M. Lowton,Matthew Lowton,73,1600000,RB,RB,England,33,181,78,408,Burnley,31000,3000000,SUB,2023,2,2015,-,Right,3,2,1,-,-,-,High,High,62,60,70,71,72,73
J. Piroe,Joël Piroe,73,6000000,"ST,RW,CAM",ST,Netherlands,22,185,74,370,Swansea City,22000,12600000,RW,2024,17,2021,-,Left,4,3,1,-,-,-,Medium,Medium,66,75,61,68,29,71
R. Loaiza,Raúl Loaiza,73,2700000,"CDM,CM",CDM,Colombia,28,180,70,382,Club Atlético Lanús,14000,4099999,CM,2025,15,2022,-,Right,3,3,1,-,-,-,Medium,High,57,46,66,66,70,77
Jorge Cuenca,Jorge Cuenca Barreno,73,6500000,CB,CB,Spain,22,190,75,347,Villarreal CF,19000,15000000,RES,2025,5,2020,-,Left,3,2,1,-,-,-,Medium,Medium,60,37,58,52,74,66
C. Basham,Chris Basham,73,1500000,CB,CB,England,33,190,80,370,Sheffield United,21000,2900000,SUB,2024,6,2014,-,Right,2,2,1,-,-,-,High,Medium,53,43,61,63,74,76
R. Hamouma,Romain Hamouma,73,1300000,"ST,RM",CAM,France,35,178,76,401,AC Ajaccio,13000,2600000,ST,2023,17,2022,-,Right,4,3,2,-,-,-,Medium,Medium,68,75,74,77,42,65
C. Piccini,Cristiano Piccini,73,2700000,RB,RB,Italy,29,189,79,392,1. FC Magdeburg,11000,4200000,CB,2026,2,2022,-,Right,2,3,1,-,-,-,Medium,Medium,71,42,63,70,73,73
S. Davis,Steven Davis,73,950000,CM,CM,Northern Ireland,37,173,70,384,Rangers FC,29000,1700000,SUB,2023,10,2019,-,Right,3,3,2,Northern Ireland,CM,8,Medium,High,36,63,75,74,72,64
D. Sallói,Dániel Sallói,73,3600000,"LW,ST",ST,Hungary,25,185,68,397,Sporting Kansas City,8000,5500000,LM,2026,20,2016,-,Right,4,3,1,Hungary,SUB,11,High,Medium,75,75,68,73,36,70
Fábio Carvalho,Fábio Leandro Carvalho,73,7000000,"CAM,CM,RM",CAM,Portugal,19,175,66,385,Liverpool,37000,17300000,SUB,2028,28,2022,-,Right,4,3,1,-,-,-,High,Medium,78,68,67,75,45,52
P. McNair,Paddy McNair,73,3500000,"CB,CDM,CM",CB,Northern Ireland,27,183,72,408,Middlesbrough,21000,6900000,SUB,2024,17,2018,-,Right,3,3,1,Northern Ireland,CB,17,Medium,High,62,62,67,68,73,76
N. Figal,Nicolás Figal,73,2900000,"CB,RB",CB,Argentina,28,181,64,397,Boca Juniors,13000,4300000,SUB,2024,4,2022,-,Right,3,3,1,-,-,-,High,High,73,43,63,68,72,78
J. Laporte,Julien Laporte,73,2900000,CB,CB,France,28,185,82,321,FC Lorient,15000,6000000,CB,2023,15,2019,-,Right,3,2,1,-,-,-,Medium,Medium,44,29,45,49,73,81
Mario González,Mario González Gutiérrez,73,4000000,ST,ST,Spain,26,183,77,368,Oud-Heverlee Leuven,13000,0,ST,2023,9,2021,TRUE,Right,3,3,1,-,-,-,Medium,Medium,71,72,64,73,22,66
Y. M'Changama,Youssouf M'Changama,73,2500000,"CAM,CM",RM,Comoros,31,175,69,440,AJ Auxerre,16000,5000000,CM,2024,6,2022,-,Right,4,3,1,-,-,-,High,High,86,71,71,74,63,75
Tramontinaldo,Márcio Anderson Tramontino Sá,73,3000000,"RB,RM",RB,Brazil,26,175,71,384,Club Athletico Paranaense,12000,5700000,SUB,2025,21,2022,-,Right,3,2,1,-,-,-,Medium,Medium,66,50,70,67,72,59
D. Lamkel Zé,Didier Lamkel Zé,73,4099999,"ST,LM",RM,Cameroon,25,192,79,426,KV Kortrijk,13000,6500000,ST,2025,22,2022,-,Right,4,4,1,-,-,-,High,Medium,82,75,67,74,49,79
B. Williams,Brandon Williams,73,4400000,"LB,RB",RWB,England,21,182,63,410,Manchester United,46000,8700000,RES,2024,33,2018,-,Right,2,3,1,-,-,-,High,Medium,79,56,65,72,69,69
Nacho,José Ignacio Martínez García,73,1600000,LB,LB,Spain,33,174,64,405,CD Tenerife,9000,2600000,LB,2024,24,2022,-,Left,3,3,1,-,-,-,High,Medium,76,56,67,68,67,71
E. Ampadu,Ethan Ampadu,73,6000000,"CDM,CM,CB",CDM,Wales,21,183,78,388,Spezia,43000,0,SUB,2023,4,2017,TRUE,Right,3,2,2,Wales,CB,15,Medium,High,65,49,63,69,72,70
